"Source:","/home/mxmont/Documents/Work/Armada/power_board/power_board.kicad_sch"
"Date:","dom 27 mar 2022 22:21:43"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","134"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"6","3","C7, C8, C28","1uF","Device:C_Feedthrough","YFF31HC2A105MT000N:FIL_YFF31HC2A105MT000N","~"
"7","2","C9, C11","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"8","1","C10","4.7uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"9","2","C14, C37","47uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"10","7","C15, C29, C33, C34, C38, C46, C48","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"11","3","C16, C19, C30","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"12","2","C20, C40","47pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"13","2","C21, C41","680pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"14","2","C22, C42","12pF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"15","2","C24, C43","100uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"16","2","C31, C47","100nF","Device:C_Feedthrough","YFF31HC2A104M:FIL_YFF31HC2A104M","~"
"17","1","C32","1500uF","Device:C_Polarized","Capacitor_SMD:C_Elec_10x10.2","~"
"18","1","D1","SMBJ24CA","Diode:1.5KExxCA","Resistor_SMD:R_MELF_MMB-0207","https://www.vishay.com/docs/88301/15ke.pdf"
"19","2","D2, D3","PMEG3050EP,115","Device:D_Schottky","Diode_SMD:D_SOD-128","~"
"20","1","D4","BAT46WJ,115","Diode:BAT46","Diode_SMD:D_SOD-323F","http://www.vishay.com/docs/85662/bat46.pdf"
"21","1","J1","Conn_01x02","Connector_Generic:Conn_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal","~"
"22","1","J2","Bat_power_jump","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"23","2","J3, J8","Conn_02x03_Odd_Even","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"24","1","J4","MS223-10F","Device:RFShield_TwoPieces","RF_Shielding:Wuerth_36103255_25x25mm","~"
"25","2","J5, J9","MS168-10F","Device:RFShield_TwoPieces","RF_Shielding:Wuerth_36103205_20x20mm","~"
"26","2","J6, J7","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"27","1","J10","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
